date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
6/4/20 4:18,realDonaldTrump,GOPChairwoman,9776,30653,115275,Great job Ted. Country is proud of you!!!,,,,1.2684E+18,https://twitter.com/realDonaldTrump/status/1268396601405513728
6/4/20 4:01,realDonaldTrump,,12997,26755,94862,FBI & DOJ had NO EVIDENCE to start an investigation against President Trump. @FoxNews “These are people with subversive actions and outright lies. They doctored documents.” @jasoninthehouse Now proven conclusively that this was the political crime of the century!,,@FoxNews @jasoninthehouse,,1.26839E+18,https://twitter.com/realDonaldTrump/status/1268392491310612481
6/4/20 2:15,realDonaldTrump,thehill,15524,27274,90930,"They spied on the Trump Campaign, and got caught!!!",,,,1.26837E+18,https://twitter.com/realDonaldTrump/status/1268365815251972096
6/4/20 1:45,realDonaldTrump,,47509,46052,259889,"I feel more and more confident that our economy is in the early stages of coming back very strong. Not everyone agrees with me, but I have little doubt. Watch for September, October, November. Next year will be one of the best ever, and look at the Stock Market NOW!",,,,1.26836E+18,https://twitter.com/realDonaldTrump/status/1268358305170296833
6/4/20 1:02,realDonaldTrump,,24925,20754,105310,"...His primary strength was not military, but rather personal public relations. I gave him a new life, things to do, and battles to win, but he seldom “brought home the bacon”. I didn’t like his “leadership” style or much else about him, and many others agree. Glad he is gone!",,,,1.26835E+18,https://twitter.com/realDonaldTrump/status/1268347259713880064
6/4/20 1:02,realDonaldTrump,,59997,37921,188933,"Probably the only thing Barack Obama & I have in common is that we both had the honor of firing Jim Mattis, the world’s most overrated General. I asked for his letter of resignation, & felt great about it. His nickname was “Chaos”, which I didn’t like, & changed to “Mad Dog”...",,,,1.26835E+18,https://twitter.com/realDonaldTrump/status/1268347256748507136
6/3/20 13:07,realDonaldTrump,,21130,23852,116268,"....the possible exception of another Republican President, the late, great, Abraham Lincoln...and it’s not even close. The Democrats know this, and so does the Fake News, but they refuse to write or say it because they are inherently corrupt! See “pinned” above.",,,,1.26817E+18,https://twitter.com/realDonaldTrump/status/1268167419132084230
6/3/20 13:07,realDonaldTrump,,58740,51723,236772,"In 3 1/2 years, I’ve done much more for our Black population than Joe Biden has done in 43 years. Actually, he set them back big time with his Crime Bill, which he doesn’t even remember. I’ve done more for Black Americans, in fact, than any President in U.S. history, with...",,,,1.26817E+18,https://twitter.com/realDonaldTrump/status/1268167411230007300
6/3/20 13:02,realDonaldTrump,,46184,58306,227666,"If you watch Fake News @CNN or MSDNC, you would think that the killers, terrorists, arsonists, anarchists, thugs, hoodlums, looters, ANTIFA &amp; others, would be the nicest, kindest most wonderful people in the Whole Wide World. No, they are what they are - very bad for our Country!",,@CNN,,1.26817E+18,https://twitter.com/realDonaldTrump/status/1268166288993632256
6/3/20 11:27,realDonaldTrump,,30082,32933,130870,"Really sick to watch the Fake and totally Slanted News(?) coming out of MSDNC and CNN. It bears NO relationship to the Truth or Facts. They are merely offshoots of the DNC, much like the @nytimes and the Amazon @washingtonpost. Just like 2016, but worse. Sad, but we will win big!",,@nytimes @washingtonpost,,1.26814E+18,https://twitter.com/realDonaldTrump/status/1268142181489029121
6/3/20 11:19,realDonaldTrump,,69398,60944,374789,LAW & ORDER!,,,,1.26814E+18,https://twitter.com/realDonaldTrump/status/1268140310762336256
